"","SiteSubsitePlot","Class","CoverChange","Duration"
"165","ABISKO:lower_tundra:ALTc5","Low_Arctic_Boreal",1.65833333333333,10
"166","ABISKO:upper_forest:AUFc1","Boreal",0,10
"167","ABISKO:upper_forest:AUFc1","Cosmopolitan",-5.44521837349397,10
"168","ABISKO:upper_forest:AUFc1","High_Low_Arctic",0,10
"169","ABISKO:upper_forest:AUFc1","Low_Arctic",0,10
"170","ABISKO:upper_forest:AUFc1","Low_Arctic_Boreal",5.44521837349398,10
"171","ABISKO:upper_forest:AUFc3","Boreal",0,10
"172","ABISKO:upper_forest:AUFc3","Cosmopolitan",3.44845117478302,10
"173","ABISKO:upper_forest:AUFc3","High_Low_Arctic",0,10
"174","ABISKO:upper_forest:AUFc3","Low_Arctic",0,10
"175","ABISKO:upper_forest:AUFc3","Low_Arctic_Boreal",-3.44845117478302,10
"176","ABISKO:upper_forest:AUFc5","Boreal",0,10
"177","ABISKO:upper_forest:AUFc5","Cosmopolitan",-3.77227423739052,10
"178","ABISKO:upper_forest:AUFc5","High_Low_Arctic",0,10
"179","ABISKO:upper_forest:AUFc5","Low_Arctic",0,10
"180","ABISKO:upper_forest:AUFc5","Low_Arctic_Boreal",4.03201449713078,10
"181","ABISKO:upper_tundra:AUTc1","Boreal",0,10
"182","ABISKO:upper_tundra:AUTc1","Cosmopolitan",-0.338759530187512,10
"183","ABISKO:upper_tundra:AUTc1","High_Low_Arctic",0,10
"184","ABISKO:upper_tundra:AUTc1","Low_Arctic",0,10
"185","ABISKO:upper_tundra:AUTc1","Low_Arctic_Boreal",0.338759530187513,10
"186","ABISKO:upper_tundra:AUTc2","Boreal",0,10
"187","ABISKO:upper_tundra:AUTc2","Cosmopolitan",-1.62269712601326,10
"188","ABISKO:upper_tundra:AUTc2","High_Low_Arctic",0,10
"189","ABISKO:upper_tundra:AUTc2","Low_Arctic",0,10
"190","ABISKO:upper_tundra:AUTc2","Low_Arctic_Boreal",1.62269712601326,10
"191","ABISKO:upper_tundra:AUTc3","Boreal",0,10
"192","ABISKO:upper_tundra:AUTc3","Cosmopolitan",-1.87280701754386,10
"193","ABISKO:upper_tundra:AUTc3","High_Low_Arctic",0,10
"194","ABISKO:upper_tundra:AUTc3","Low_Arctic",0,10
"195","ABISKO:upper_tundra:AUTc3","Low_Arctic_Boreal",1.87280701754386,10
"196","ABISKO:upper_tundra:AUTc4","Boreal",0,10
"197","ABISKO:upper_tundra:AUTc4","Cosmopolitan",-0.539499036608862,10
"198","ABISKO:upper_tundra:AUTc4","High_Low_Arctic",0,10
"199","ABISKO:upper_tundra:AUTc4","Low_Arctic",0,10
"200","ABISKO:upper_tundra:AUTc4","Low_Arctic_Boreal",0.539499036608863,10
"201","ABISKO:upper_tundra:AUTc5","Boreal",0,10
"202","ABISKO:upper_tundra:AUTc5","Cosmopolitan",1.04276315789474,10
"203","ABISKO:upper_tundra:AUTc5","High_Low_Arctic",0,10
"204","ABISKO:upper_tundra:AUTc5","Low_Arctic",0,10
"205","ABISKO:upper_tundra:AUTc5","Low_Arctic_Boreal",-1.04276315789474,10
"206","ALEXFIORD:CASSIOPE:Cas.c.c.10new","Boreal",0,24
"207","ALEXFIORD:CASSIOPE:Cas.c.c.10new","Cosmopolitan",0.208333333333333,24
"208","ALEXFIORD:CASSIOPE:Cas.c.c.10new","High_Low_Arctic",-0.208333333333333,24
"209","ALEXFIORD:CASSIOPE:Cas.c.c.10new","Low_Arctic",0,24
"210","ALEXFIORD:CASSIOPE:Cas.c.c.10new","Low_Arctic_Boreal",0,24
"211","ALEXFIORD:CASSIOPE:Cas.c.c.11new","Boreal",0.0755360623781677,24
"212","ALEXFIORD:CASSIOPE:Cas.c.c.11new","Cosmopolitan",-0.134015594541911,24
"213","ALEXFIORD:CASSIOPE:Cas.c.c.11new","High_Low_Arctic",0.0584795321637427,24
"214","ALEXFIORD:CASSIOPE:Cas.c.c.11new","Low_Arctic",0,24
"215","ALEXFIORD:CASSIOPE:Cas.c.c.11new","Low_Arctic_Boreal",0,24
"216","ALEXFIORD:CASSIOPE:Cas.c.c.12","Boreal",0.093984962406015,19
"217","ALEXFIORD:CASSIOPE:Cas.c.c.12","Cosmopolitan",0.234962406015037,19
"218","ALEXFIORD:CASSIOPE:Cas.c.c.12","High_Low_Arctic",-0.328947368421053,19
"219","ALEXFIORD:CASSIOPE:Cas.c.c.12","Low_Arctic",0,19
"220","ALEXFIORD:CASSIOPE:Cas.c.c.12","Low_Arctic_Boreal",0,19
"221","ALEXFIORD:CASSIOPE:Cas.c.c.12new","Boreal",-0.0850340136054422,24
"222","ALEXFIORD:CASSIOPE:Cas.c.c.12new","Cosmopolitan",0.585575139146568,24
"223","ALEXFIORD:CASSIOPE:Cas.c.c.12new","High_Low_Arctic",-0.500541125541126,24
"224","ALEXFIORD:CASSIOPE:Cas.c.c.12new","Low_Arctic",0,24
"225","ALEXFIORD:CASSIOPE:Cas.c.c.12new","Low_Arctic_Boreal",0,24
"226","ALEXFIORD:CASSIOPE:Cas.c.c.13","Boreal",-0.138504155124654,19
"227","ALEXFIORD:CASSIOPE:Cas.c.c.13","Cosmopolitan",0.0377738604885415,19
"228","ALEXFIORD:CASSIOPE:Cas.c.c.13","High_Low_Arctic",0.100730294636112,19
"229","ALEXFIORD:CASSIOPE:Cas.c.c.13","Low_Arctic",0,19
"230","ALEXFIORD:CASSIOPE:Cas.c.c.13","Low_Arctic_Boreal",0,19
"231","ALEXFIORD:CASSIOPE:Cas.c.c.13new","Boreal",0.16025641025641,24
"232","ALEXFIORD:CASSIOPE:Cas.c.c.13new","Cosmopolitan",-0.0600961538461539,24
