"","SPECIES_CLEAN","Duration","Start","End","CoverChangePerYear","X","ClassNew","Synonym","family","FunctionalGroup","Woodiness","Deciduousness","BerryCat","N_fixer","PlantHeight","SLA","SeedMass","LeafN","LeafCN","MeanCoverChange","TimesColonised"
"247","Pedicularis flammea",23,0,8,0.347826086956522,169,"Arctic specialist",NA,"Orobanchaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",NA,NA,NA,NA,NA,0.0490980423320828,9
"248","Euphrasia frigida",23,0,3.33333333333333,0.144927536231884,171,"Arctic specialist",NA,"Orobanchaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.0792083333333333,18.0266893919151,0.3666,47.8283817884712,NA,-0.0467064315891682,5
"249","Koenigia islandica",23,0,10,0.434782608695652,172,"Ubiquitous",NA,"Polygonaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.0385714285714286,NA,NA,NA,NA,0.434782608695652,1
"250","Minuartia biflora",23,0,1.25,0.0543478260869565,167,"Ubiquitous",NA,"Caryophyllaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",NA,NA,NA,NA,NA,0.0724753565742346,5
"251","Thymus praecox",23,0,2,0.0869565217391304,174,"Boreal-tundra boundary",NA,"Lamiaceae","Shrub","Woody","Evergreen","Not berry","Not fixer",0.0883333333333333,15.9014109682257,NA,16.4695833333333,NA,0.0869565217391304,1
"252","Micranthes nivalis",23,3.57142857142857,0,-0.15527950310559,176,"Ubiquitous",NA,"Saxifragaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.0882857142857143,NA,NA,NA,NA,-0.15527950310559,0
"253","Arabidopsis lyrata",23,1.31578947368421,0,-0.05720823798627,263,"Ubiquitous","Arabidopsis petraea","Brassicaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",NA,31.5166588888889,NA,NA,NA,-0.05720823798627,0
"254","Salix phylicifolia",22,0,5.26315789473684,0.239234449760766,175,"Boreal-tundra boundary",NA,"Salicaceae","Shrub","Woody","Deciduous","Not berry","Not fixer",2.685,11.0933599061772,NA,8.83861520851696,NA,0.199362041467305,2
"255","Arnica lessingii",18,0,2.17391304347826,0.120772946859903,199,"Boreal-tundra boundary",NA,"Asteraceae","Forb","Not woody","Not applicable","Not berry","Not fixer",NA,NA,NA,NA,NA,0.120772946859903,1
"256","Calamagrostis inexpansa",18,2.17391304347826,0,-0.120772946859903,197,"Boreal specialist",NA,"Poaceae","Graminoid","Not woody","Not applicable","Not berry","Not fixer",NA,NA,NA,NA,NA,-0.092593182711661,5
"257","Lagotis glauca",18,4,0,-0.222222222222222,202,"Ubiquitous",NA,"Plantaginaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.139372549019608,9.19893021526667,5.075,NA,NA,-0.0482819045249056,1
"258","Polemonium acutiflorum",18,0,1.49253731343284,0.0829187396351575,198,"Boreal-tundra boundary",NA,"Polemoniaceae","Forb","Not woody","Not applicable","Not berry","Not fixer",0.4019375,27.8586,NA,NA,NA,0.0829187396351575,1
