"","SiteSubsitePlot","Duration"
"424","THUFUVER:SALIXHEATH:SALIXHEATH1_14",23
"425","THUFUVER:SALIXHEATH:SALIXHEATH1_15",23
"426","THUFUVER:SALIXHEATH:SALIXHEATH1_16",23
"427","THUFUVER:SALIXHEATH:SALIXHEATH1_17",23
"428","THUFUVER:SALIXHEATH:SALIXHEATH2_1",23
"429","THUFUVER:SALIXHEATH:SALIXHEATH2_10",23
"430","THUFUVER:SALIXHEATH:SALIXHEATH3_5",23
"431","THUFUVER:SALIXHEATH:SALIXHEATH3_4",23
"432","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_5",10
"433","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_9",10
"434","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_20",10
"435","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_2",10
"436","ABISKO:lower_forest:ALFc1",10
"437","ABISKO:lower_forest:ALFc2",10
"438","ABISKO:lower_forest:ALFc3",10
"439","ABISKO:lower_forest:ALFc4",10
"440","ABISKO:lower_forest:ALFc5",10
"441","ABISKO:lower_tundra:ALTc1",10
"442","ABISKO:lower_tundra:ALTc2",10
"443","ABISKO:lower_tundra:ALTc3",10
"444","ABISKO:lower_tundra:ALTc4",10
"445","ABISKO:lower_tundra:ALTc5",10
"446","ABISKO:upper_forest:AUFc1",10
"447","ABISKO:upper_forest:AUFc3",10
"448","ABISKO:upper_forest:AUFc5",10
"449","ABISKO:upper_tundra:AUTc1",10
"450","ABISKO:upper_tundra:AUTc2",10
"451","ABISKO:upper_tundra:AUTc3",10
"452","ABISKO:upper_tundra:AUTc4",10
"453","ABISKO:upper_tundra:AUTc5",10
"454","JOATKA:lower_forest:JLFc1",10
"455","JOATKA:lower_forest:JLFc2",10
"456","JOATKA:lower_forest:JLFc3",10
"457","JOATKA:lower_forest:JLFc4",10
"458","JOATKA:lower_forest:JLFc5",10
"459","JOATKA:lower_tundra:JLTc3",10
"460","JOATKA:lower_tundra:JLTc5",10
"461","JOATKA:lower_tundra:JLTc1",10
"462","JOATKA:lower_tundra:JLTc2",10
"463","JOATKA:lower_tundra:JLTc4",10
"464","JOATKA:upper_forest:JUFc1",10
"465","JOATKA:upper_forest:JUFc3",10
"466","JOATKA:upper_forest:JUFc4",10
"467","JOATKA:upper_forest:JUFc5",10
"468","JOATKA:upper_tundra:JUTc1",10
"469","JOATKA:upper_tundra:JUTc2",10
"470","JOATKA:upper_tundra:JUTc3",10
"471","JOATKA:upper_tundra:JUTc4",10
"472","JOATKA:upper_tundra:JUTc5",10
"473","DISKO:DISTURBANCE:C1.3",28
"474","DISKO:DISTURBANCE:C4.3",28
"475","DISKO:DISTURBANCE:C5.3",28
"476","DISKO:DISTURBANCE:A1.6",28
"477","DISKO:DISTURBANCE:A2.2",28
"478","DISKO:DISTURBANCE:A3.3",28
"479","DISKO:DISTURBANCE:A4.3",28
"480","DISKO:DISTURBANCE:A5.1",28
"481","DISKO:DISTURBANCE:A6.1",28
"482","DISKO:DISTURBANCE:B1.2",28
"483","DISKO:DISTURBANCE:B2.2",28
"484","DISKO:DISTURBANCE:B3.4",28
"485","DISKO:DISTURBANCE:B4.5",28
"486","DISKO:DISTURBANCE:B5.2",28
"487","DISKO:DISTURBANCE:B6.5",28
"488","KILPISJARVI:KILPISJARVI:C1",16
"489","KILPISJARVI:KILPISJARVI:C2",16
"490","KILPISJARVI:KILPISJARVI:C3",16
"491","KILPISJARVI:KILPISJARVI:C4",16
"492","KILPISJARVI:KILPISJARVI:C5",16
"493","LATNJA:DRY_HEATH:C1",21
"494","LATNJA:DRY_HEATH:C2",21
"495","LATNJA:DRY_HEATH:C3",21
"496","LATNJA:DRY_HEATH:C4",21
"497","LATNJA:DRY_HEATH:C5",13
"498","LATNJA:DRY_MEADOW:C1",20
"499","LATNJA:DRY_MEADOW:C2",20
"500","LATNJA:DRY_MEADOW:C3",20
"501","LATNJA:DRY_MEADOW:C4",19
"502","LATNJA:DRY_MEADOW:C5",19
"503","LATNJA:WET_MEADOW:C1",22
"504","LATNJA:WET_MEADOW:C2",22
"505","LATNJA:WET_MEADOW:C3",22
"506","LATNJA:WET_MEADOW:C4",22
"507","LATNJA:WET_MEADOW:C5",22
"508","LATNJA:TUSSOCK_TUNDRA:C1",21
"509","LATNJA:TUSSOCK_TUNDRA:C2",21
"510","LATNJA:TUSSOCK_TUNDRA:C3",21
"511","LATNJA:TUSSOCK_TUNDRA:C4",21
"512","LATNJA:TUSSOCK_TUNDRA:C5",21
"513","ABISKO:ABISKOWET_FLUX:1_CTL",6
"514","ABISKO:ABISKOWET_FLUX:2_CTL",6
"515","ABISKO:ABISKOWET_FLUX:3_CTL",6
"516","ABISKO:ABISKOWET_FLUX:4_CTL",6
"517","ABISKO:ABISKOWET_FLUX:5_CTL",6
"518","ABISKO:ABISKOWET_FLUX:6_CTL",6
"519","ABISKO:ABISKODRY_PADDUS:CTL_1",6
"520","ABISKO:ABISKODRY_PADDUS:CTL_2",6
"521","ABISKO:ABISKODRY_PADDUS:CTL_3",6
